Dirección;Código postal;Localidad;Provincia;Teléfono;lat;lng
Av. Concejal A.jimenez Becerril Local 1;41009;Sevilla;Sevilla;954915820;37.40763;-5.9927
Av. ConstituciÃ³n 32;40005;Segovia;Segovia;921421198;40.938995;-4.112269
Av. Constitucion, 1;46940;Manises;Valencia;961521012;39.489258;-0.452203
Av. Constitucion, 217-219;46019;Valencia;Valencia;963659467;39.49544;-0.371564
Av. Constitución, 70;28100;Alcobendas;Madrid;916592170;40.543556;-3.6384594
Av. Cortes de Aragon, 20;50300;Calatayud;Zaragoza;976886856;41.352;-1.63945
Avda. del Infante Don Luis, 9;28660;Boadilla del Monte;Madrid;916336920;40.40567;-3.8960588
Av. Daroca, 44;28017;Madrid;Madrid;917240075;40.429577;-3.6551204
Av. d'Ausias March, 32;46120;Alboraya;Valencia;961869474;39.49722;-0.35218477
Av. de Abrantes, 42;28025;Madrid;Madrid;915655150;40.3817;-3.7273583
Av. de Abrantes, 80;28025;Madrid;Madrid;915655125;40.379166;-3.7307045
Av. de África, 19;51002;Ceuta;Ceuta;956524025;35.888363;-5.322377
Av. de Alberto Alcocer, 46;28016;Madrid;Madrid;914584420;40.458496;-3.6797843
Av. de Alemania;41012;Sevilla;Sevilla;955641592;37.34587;-5.976734
Av. de Alexandre Rosselló, 26;07002;Palma de Mallorca;Illes Balears;971774490;39.55482;2.7782104
Av. de Alexandre Rosselló, 7;07002;Palma de Mallorca;Illes Balears;971213481;39.571945;2.656546
Av. de Alfonso IX, 9;49013;Zamora;Zamora;980508010;41.50766;-5.7429314
Av. de Alfonso X "El Sabio", 36;03004;Alicante;Alicante;965146180;38.3468;-0.488892
Av. de Alfonso XII, 151;28016;Madrid;Madrid;913531700;40.460228;-3.6774795
Av. de América,24;28028;Madrid;Madrid;917240105;40.438805;-3.673929
Av. de Ana de Viya, 7;11009;Cadiz;Cádiz;956290694;36.51192;-6.279888
Av. de Andalucía, 43;23005;Jaen;Jaén;953294040;37.777405;-3.7956972
Av. de Andalucía, 43;41510;Mairena del Alcor;Sevilla;955748935;37.373158;-5.747595
Av. de Andalucía, 6;21100;Punta Umbria;Huelva;959659117;37.184444;-6.9646535
Av. de Andalucía, 69;11007;Cadiz;Cádiz;956292192;36.518795;-6.283922
Av. de Andalucía, 86;29740;Torre del Mar;Málaga;952546989;36.740757;-4.096041
Av. de Anselm Clavé, 27;08940;Cornella de Llobregat;Barcelona;934800300;41.354336;2.07274
Av. de Ansite, 90;35118;Agüimes;Las Palmas;928189427;27.87891;-15.429238
Av. de Antonio Fernández Orts, 7;05460;Gavilanes;Ávila;920390188;40.2769;-4.8525023
Av. de Aragón, 221;36207;Vigo;Pontevedra;986267120;42.24179;-8.698834
Av. de Arcos de la Frontera, 2;14014;Cordoba;Córdoba;957764036;37.89699;-4.756941
Av. de Argentina, 62;33212;Gijon;Asturias;985308004;43.53907;-5.6983156
Av. de Asturias, 53;28029;Madrid;Madrid;913237990;40.470776;-3.697794
Av. de Avila,27;05145;Muñico;Ávila;920232002;40.706383;-5.028809
Av. de Baja Navarra, 9 Bis;31002;Pamplona;Navarra;948206011;42.813286;-1.6409014
Av. de Barceló, 1;12192;Vilafamés;Castellón;964329076;40.1122;-0.053108
Av. de Barcelona, 16;08191;Rubi;Barcelona;935862022;41.48901;2.0312777
Av. de Barcelona, 23;19005;Guadalajara;Guadalajara;949248580;40.634617;-3.157727
Av. de Barrie de la Maza, 35;15160;Sada;Coruña;981619111;43.351112;-8.256183
Av. de Bartomeu Rosselló, 14;07800;Ibiza;Illes Balears;971318009;38.910603;1.433469
Av. de Bayona, 2;31011;Pamplona;Navarra;948199545;42.81515;-1.6551038
Av. de Benagéber, 35;46184;San Antonio de Benageber;Valencia;961352142;39.560905;-0.5014765
Av. de Berlín;28820;Coslada;Madrid;916601775;40.419987;-3.5391533
Av. de Bruselas, 67;28028;Madrid;Madrid;917240130;40.440887;-3.66305
Av. de Bruselas, 9;28109;Alcobendas;Madrid;916574260;40.531292;-3.633256
Av. de Buenos Aires, 11;28905;Getafe;Madrid;916010115;40.326992;-3.7362742
Av. de Buenos Aires, 2;50180;Utebo;Zaragoza;976462820;41.70442;-0.99980146
Av. de Burgos, 17;28036;Madrid;Madrid;913835004;40.4735;-3.6758757
Av. de Burjasot, 83;46009;Valencia;Valencia;963405666;39.487625;-0.3885877
Av. de Cádiz;18006;Granada;Granada;958183069;37.158318;-3.601799
Av. de Canarias, 35 (Edif. Res. Real);38410;Los Realejos;S.C. Tenerife;922342745;28.386503;-16.584234
Av. de Canillejas a Vicálvaro, 91;28022;Madrid;Madrid;913135890;40.43213;-3.6112
Av. de Cantabria, 15;39400;Los Corrales de Buelna;Cantabria;942834000;43.25765;-4.0676475
Av. de Carlos III, 517;04740;Roquetas de Mar;Almería;950342298;36.81683;-2.562748
Av. de Carlos Soler, 22;03110;Mutxamel;Alicante;965954011;38.413033;-0.4436025
Av. de Carlos V, 74;35240;El Carrizal;Las Palmas;928786023;27.912054;-15.403911
Av. de Carlos VII, 3;48920;Portugalete;Vizcaya;944724363;43.31994;-3.020777
Av. de Castelao 1;36210;Vigo;Pontevedra;986213002;42.220642;-8.732778
Av. de Castellón, 10;12412;Geldo;Castellón;964710500;39.8362;-0.467273
Av. de Castilla, 21;19002;Guadalajara;Guadalajara;949234005;40.6256;-3.1649208
Av. de Castilla-La Mancha, 16;45730;Villafranca de los Caballero;Toledo;926581802;39.425995;-3.361604
Av. de Castilla-La Mancha, 82;45200;Illescas;Toledo;925513230;40.12626;-3.8461106
Av. de Castilla y León, 15;05430;Adrada (la);Ávila;918460929;40.300446;-4.635793
Av. de Castilla y León, 41;05440;Piedralaves;Ávila;918665028;40.316563;-4.6994233
Av. de Catalunya, 2;43830;Torredembarra;Tarragona;977646012;41.14374;1.3982782
Av. de Catalunya, 38;08290;Cerdanyola del Valles;Barcelona;935863125;41.49273;2.146038
Av. de Catalunya, 84-86;50014;Zaragoza;Zaragoza;976204065;41.6622;-0.8646195
Av. de Cayetano del Toro, 27;11010;Cadiz;Cádiz;956290421;36.505184;-6.276116
Av. de César Augusto, 29;50004;Zaragoza;Zaragoza;976469040;41.65361;-0.8844799
Av. de Colon, 4;06005;Badajoz;Badajoz;924205280;38.8767;-6.97651
Av. de Colón, 62;46185;La Pobla de Vallbona;Valencia;962760023;39.590347;-0.55479884
Av. de Cornella, 38;08950;Esplugues de Llobregat;Barcelona;933712417;41.37311;2.084362
Av. de Cuba, 18 (Loc. 9);41927;Mairena del Aljarafe;Sevilla;954179044;37.35183;-6.046815
Av. de D. Antonio Huertas, 145;13700;Tomelloso;Ciudad Real;926501200;39.152267;-3.012958
Av. de Eduardo Dato, 52-54;41005;Sevilla;Sevilla;954932660;37.38154;-5.9669147
Av. de Eladio Perlado, 32;09007;Burgos;Burgos;947244910;42.351013;-3.6674166
Av. de El Paular, 1;28740;Rascafria;Madrid;918692000;40.904034;-3.8799837
Av. de España, 1;02430;Elche de la Sierra;Albacete;967410053;38.450573;-2.0481977
Av. de España, 11;24400;Ponferrada;León;987456370;42.547813;-6.599499
Av. de España, 17;28100;Alcobendas;Madrid;916573270;40.54702;-3.64156
Av. de España, 1 (edf.madrid (edf.madrid);29680;Estepona;Málaga;952805500;36.4257;-5.14243
Av. de España, 23;28821;Coslada;Madrid;916601795;40.421688;-3.5641944
Av. de España, 26;28220;Majadahonda;Madrid;916347275;40.471848;-3.8683226
Av. de España, 28;28903;Getafe;Madrid;916010140;40.312347;-3.7216938
Av. de España;28320;Pinto;Madrid;916928090;40.240433;-3.6983967
Av. de España, 78;12400;Segorbe;Castellón;964713362;39.8469;-0.487443
Av. de España, 9;21410;Isla Cristina;Huelva;959344485;37.20161;-7.325295
Av. de España, s/n;28941;Fuenlabrada;Madrid;916856034;40.29363;-3.7970934
Av. de Europa, 10;28943;Fuenlabrada;Madrid;916002930;40.287846;-3.808506
Av. de Europa, 2;28943;Fuenlabrada;Madrid;916856018;40.289845;-3.8042414
Av. de Europa;45003;Toledo;Toledo;925280088;39.8718;-4.027849
Av. de Europa, 7;28224;Pozuelo de Alarcon;Madrid;917140339;40.4366;-3.7970066
Av. de Europa, s/n;28925;Alcorcon;Madrid;916655800;40.34818;-3.8511372
Av. de Federico Anaya, 14;37004;Salamanca;Salamanca;923125075;40.9705;-5.6584277
Av. de Felipe II, 16;41013;Sevilla;Sevilla;954296300;37.371735;-5.9821877
Av. de Ferrol, 1;28029;Madrid;Madrid;917320310;40.474426;-3.7034047
Av. de Florida, 83;36210;Vigo;Pontevedra;986213202;42.2162;-8.739189
Av. de Fort de l'Eau, 64;07701;Mao;Illes Balears;971352250;39.8851;4.272153
Av. de Francia (esq. Alfred Torán Olmos);46023;Valencia;Valencia;963318212;39.4597;-0.350533
Av. de Francisco Aguirre;45600;Talavera de la Reina;Toledo;925721586;39.96688;-4.833239
Av. de Francisco Fernández Ordóñez, 3-5;28903;Getafe;Madrid;916010190;40.317135;-3.7165601
Av. de Fuenlabrada, 97;28912;Leganes;Madrid;914987320;40.3256;-3.7651026
Av. de Gabriel Roca, 1 (Edif. Las Velas);07157;Port D'Andratx;Illes Balears;971674630;39.5453;2.39034
Av. de Galicia 25;33005;Oviedo;Asturias;985965550;43.36076;-5.8585796
Av. de García Lorca, 5;18680;Salobreña;Granada;958610997;36.743717;-3.5834098
Av. de Gaspar Aguilar, 63;46017;Valencia;Valencia;963587026;39.455017;-0.391109
Av. de Gasteiz, 67;01009;Vitoria-Gasteiz;Álava;945214230;42.849846;-2.6812687
Av. de Gran Canaria, 21;15011;A Coruña;Coruña;981145163;43.37231;-8.423563
Av. de Hellín, 15;28037;Madrid;Madrid;913717160;40.43069;-3.6157913
Av. de Holanda (Edif. Leo, loc. 13);03540;San Juan;Alicante;965268038;38.3681;-0.4137361
Av. de Huelva, 1;21450;Cartaya;Huelva;959393881;37.287766;-7.142358
Av. de Hytasa, 12;41006;Sevilla;Sevilla;954933500;37.370625;-5.960158
Av. de Ifach, 14;03710;Calpe;Alicante;965875066;38.644775;0.04562438
Av. de Illice, 97;03320;Torrellano;Alicante;965683264;38.293922;-0.5864583
Av. de Imperio Argentina, 15;29004;Malaga;Málaga;952175084;36.68259;-4.454106
Av. de Isidor Macabich, 40;07800;Ibiza;Illes Balears;971312165;38.910076;1.4266
Av. de Jaime I, 33;12600;Vall de Uxo;Castellón;964697090;39.820858;-0.23304105
Av. de Jaime Janer, 4;36900;Marin;Pontevedra;986838000;42.392227;-8.702046
Av. de Jaume I;17480;Roses;Girona;972153717;42.260002;3.1812997
Av. de Jaume I, 350;08226;Terrassa;Barcelona;937349162;41.574993;2.0177784
Av. de Jaume I, 7;03510;Callosa D'En Sarria;Alicante;965881205;38.6511;-0.122416
Av. de Jesús Rescatado 5-7;14007;Cordoba;Córdoba;957764023;37.890923;-4.7630696
Av. de Jesús Santos Rein,1;29640;Fuengirola;Málaga;952587000;36.541103;-4.6244287
Av. de José Antonio, 29;46178;Alpuente;Valencia;962101005;39.87773;-1.014667
Av. de José María Martínez Sánchez-Arjona, 22-Bis;41010;Sevilla;Sevilla;954990250;37.38013;-6.0044146
Av. de Josep Tarradellas, 20;08225;Terrassa;Barcelona;937368720;41.57072;2.003559
Av. de Juan Carlos I, 20;28905;Getafe;Madrid;916010160;40.289837;-3.7512624
Av. de Juan Carlos I, 26;30008;Murcia;Murcia;968272750;37.994522;-1.132944
Av. de Juan Carlos I, 3;29680;Estepona;Málaga;952808050;36.423107;-5.1480923
Av. de Juan Carlos I, 35;35510;Puerto del Carmen;Las Palmas;928596093;28.925562;-13.66527
Av. de Juan Carlos I, 45-47;50009;Zaragoza;Zaragoza;976400310;41.639893;-0.90797067
Av. de Juan Carlos I, 6;28294;Robledo de Chavela;Madrid;918981500;40.502014;-4.2373652
Av. de Juan de Austria, 1;28805;Alcala de Henares;Madrid;918870125;40.485825;-3.3574517
Av. de Juan de Austria, 17;28804;Alcala de Henares;Madrid;918870120;40.486977;-3.353566
Av. de Juan de la Cierva;28902;Getafe;Madrid;916010220;40.311085;-3.725571
Av. de Juan Pablo II, 14;28224;Pozuelo de Alarcon;Madrid;917140333;40.44691;-3.80285
Av. de Juan Sebastián Elcano, 166;29017;Malaga;Málaga;952207006;36.721165;-4.362611
Av. de Juan XXIII, 5;46025;Valencia;Valencia;963478125;39.49075;-0.382542
Av. de Just i Marles, 30;17310;Lloret de Mar;Girona;972349001;41.698772;2.8442855
Av. de la Alameda, 43;03800;Alcoy;Alicante;965524782;38.70152;-0.4778543
Av. de La Albufera, 119;28038;Madrid;Madrid;915009016;40.39322;-3.6595953
Av. de La Albufera, 250;28038;Madrid;Madrid;917791100;40.389137;-3.6445644
Av. de La Albufera, 72;28038;Madrid;Madrid;915009020;40.395466;-3.66408
Av. de la Alcora, 126;12006;Castellon de la Plana;Castellón;964216041;39.98722;-0.06037653
Av. de la Alcora, 16;12122;Figueroles;Castellón;964381525;40.1168;-0.23715
Av. de la Arboleda, 16;28280;El Escorial;Madrid;918969087;40.58328;-4.130642
Av. de la Aurora, 34;29006;Malaga;Málaga;952363244;36.716335;-4.4337044
Av. de la Barranquilla, 5;28033;Madrid;Madrid;913821200;40.47362;-3.6396563
Av. de la Buhaira, 31 Edif. Me Edif. Menara;41018;Sevilla;Sevilla;954933907;37.3806;-5.9796
Av. de la Ciudad de Barcelona, 136;28007;Madrid;Madrid;915130245;40.403824;-3.6802022
Av. de la Ciudad de Chiva, s/n (Parque Alcosa);41019;Sevilla;Sevilla;954999400;37.410225;-5.9255066
Av. de la Ciudad de Melilla;29130;Alhaurin de la Torre;Málaga;952417199;36.66063;-4.559251
Av. de la Comunidad de Madrid;28940;Fuenlabrada;Madrid;916856014;40.27711;-3.8018167
Av. de la Concordia, 3;39600;Muriedas;Cantabria;942269044;43.418423;-3.840767
Av. de la Concordia, 7;08206;Sabadell;Barcelona;937247880;41.559258;2.0963526
Av. de la Constitució, 117;08860;Castelldefels;Barcelona;936350090;41.27905;1.978333
Av. de la Constitución, 10;39700;Castro Urdiales;Cantabria;942859012;43.381416;-3.2176437
Av. de la Constitución, 11;30008;Murcia;Murcia;968270054;37.991234;-1.1312236
Av. de la Constitución, 116-118;30870;Mazarron;Murcia;968592696;37.598457;-1.3135636
Av. de la Constitución, 117;46724;Palma de Gandia;Valencia;962808028;38.92347;-0.2225563
Av. de la Constitución, 15;07760;Ciutadella de Menorca;Illes Balears;971484400;40.002827;3.8408911
Av. de la Constitución, 17;45600;Talavera de la Reina;Toledo;925720033;39.96375;-4.8158298
Av. de la Constitución, 19;46269;Tous;Valencia;962449339;39.138103;-0.586785
Av. de la Constitución, 2;12589;Calig;Castellón;964492083;40.46195;0.358348
Av. de la Constitución, 26;28840;Mejorada del Campo;Madrid;916794900;40.396835;-3.4899838
Av. de la Constitución, 35;28821;Coslada;Madrid;916601800;40.42523;-3.566611
Av. de la Constitución, 44;18012;Granada;Granada;958805103;37.1865;-3.608884
Av. de la Constitución, 5;33208;Gijon;Asturias;985990068;43.537235;-5.66526
Av. de la Constitución, 7;03360;Callosa de Segura;Alicante;965311583;38.126;-0.877833
Av. de la Constitución, 7;41004;Sevilla;Sevilla;954501027;37.387085;-5.9941907
Av. de la Constitución, 76;10400;Jaraiz de la Vera;Cáceres;927665002;40.06001;-5.7535963
Av. de la Constitución, 83;03400;Villena;Alicante;965343072;38.635784;-0.86598337
Av. de la Constitución s/n;28850;Torrejon de Ardoz;Madrid;916749030;40.459545;-3.4632146
Av. de la Constitución, s/n. Loc. 9-12;28850;Torrejon de Ardoz;Madrid;916600375;40.459545;-3.4632146
Av. de La Coruña, 177;27004;Lugo;Lugo;982263036;43.02044;-7.5630465
Av. de la Costa, 112;33204;Gijon;Asturias;985195155;43.53737;-5.6519966
Av. del Aeropuerto, 6;14004;Cordoba;Córdoba;957761008;37.879166;-4.7885036
Av. de la Estacion 11;40551;Campo de San Pedro;Segovia;921556007;41.429695;-3.544984
Av. de la Estación, 3;12594;Oropesa del Mar;Castellón;964316167;40.09312;0.13639838
Av. de la Estación, 32;30700;Torre-Pacheco;Murcia;968585056;37.74425;-0.9570873
Av. de la Estación, 5;03003;Alicante;Alicante;965982104;38.345284;-0.4922819
Av. de la Familia Betancourt y Mol, 11 (Ant. Av. del Generalísimo);38400;Puerto de la Cruz;S.C. Tenerife;922388807;28.415817;-16.545807
Av. de la Fuente, 16;46392;Siete Aguas;Valencia;962340303;39.47207;-0.9153682
Av. de la Generalitat, 31;08922;Santa Coloma de Gramanet;Barcelona;934665600;41.44789;2.2105875
Av. de la Gran Vía, 36;36203;Vigo;Pontevedra;986493004;42.23171;-8.718414
Av. de la Gran Vía Rey Juan Carlos I, 17;26002;Logroño;La Rioja;941270055;42.463257;-2.4476056
Av. de la Hispanidad, s/n;28945;Fuenlabrada;Madrid;916856095;40.292866;-3.7880516
Av. de la Independencia, 23;13114;El Robledo;Ciudad Real;926782100;39.217857;-4.2820554
Av. del Alcalde Álvaro Domecq (Urb. Parque Avenida);11405;Jerez de la Frontera;Cádiz;956319657;36.694584;-6.1295557
Av. del Alcalde de Móstoles;28932;Mostoles;Madrid;916655300;40.33091;-3.8568556
Av. del Alcalde Federico Molina, 48;21007;Huelva;Huelva;959543015;37.258907;-6.9334354
Av. del Alcalde José Aranda, 1;28922;Alcorcon;Madrid;916449195;40.34216;-3.8236554
Av. del Alcalde Luis Uruñuela, 1;41020;Sevilla;Sevilla;954997880;37.4054;-5.931315
Av. de la Libertad, 24;03690;San Vicente del Raspeig;Alicante;965675018;38.39715;-0.5228108
Av. de la Libertad, 40;20004;San Sebastian;Guipuzcoa;943440230;43.31905;-1.9839066
Av. de la Libertad, 4;30009;Murcia;Murcia;968270053;37.9898;-1.1331728
Av. de la Libertad, 46 (Loc. 2 - Ant. Av. del Generalísimo);28610;Villamanta;Madrid;918124610;40.298195;-4.111569
Av. de la Libertad, S/N Local 2;28924;Alcorcon;Madrid;916110861;40.34705;-3.8103783
Av. de la Libertat, 9;08100;Mollet del Valles;Barcelona;935440970;41.53673;2.2124307
Av. del Aljarafe, 25;41930;Bormujos;Sevilla;955726999;37.372433;-6.0714264
Av. de la Mare de Deu de Montserrat, 235;08041;Barcelona;Barcelona;934361781;41.42288;2.174716
Av. de la Marina, 33;11520;Rota;Cádiz;956846364;36.62246;-6.3634124
Av. de la Marina Baixa, 40;03530;La Nucia;Alicante;966897087;38.612133;-0.1268202
Av. de la Música Española, 32;16004;Cuenca;Cuenca;969172294;40.06316;-2.127421
Av. de Landako, 3;48200;Durango;Vizcaya;946232740;43.171837;-2.6298952
Av. de la Pau, 24;03760;Ondara;Alicante;966477266;38.821796;-0.00414938
Av. de la Paz, 3;03724;Teulada;Alicante;966491207;38.687828;0.13211489
Av. de la Paz, 49;26004;Logroño;La Rioja;941270045;42.46468;-2.435199
Av. de la Peseta, 50;28054;Madrid;Madrid;915111670;40.362278;-3.759761
Av. de la Peseta, 86;28054;Madrid;Madrid;915114276;40.362;-3.7512152
Av. de la Plaza de Toros, s/n;28300;Aranjuez;Madrid;918090009;40.02778;-3.5989022
Av. de la Rambla, 54;03550;San Juan;Alicante;965943400;38.4005;-0.43514013
Av. de la Reina Sofía, 23;28919;Leganes;Madrid;916857920;40.342785;-3.7491152
Av. de la República Argentina, 21;41011;Sevilla;Sevilla;954990340;37.378273;-6.001114
Av. de la República Argentina, 34;46702;Gandia;Valencia;962954295;38.96716;-0.185751
Av. de la Rioja, 33;26200;Haro;La Rioja;941311084;42.574;-2.8524
Av. de la Ronda de los Tejares, 14;14001;Cordoba;Córdoba;957497016;37.88849;-4.7809143
Av. de las Camelias 101;36211;Vigo;Pontevedra;986493003;42.22619;-8.7294035
Av. de Las Ciencias, 30;41020;Sevilla;Sevilla;954475220;37.40134;-5.9264526
Av. de Las Ciencias, 30-Loca Local 8;41020;Sevilla;Sevilla;954475487;37.401333;-5.92647
Av. de las Germanías, 15;46291;Benimodo;Valencia;962530980;39.213955;-0.5263272
Av. de Las Habaneras, 40;03180;Torrevieja;Alicante;965706191;37.980164;-0.671375
Av. de la Sierra, 3;28700;San Sebastian de los Reyes;Madrid;916573275;40.551987;-3.6311376
Av. de la Sierra de Espadán, 116;12527;Artana;Castellón;964611152;39.890087;-0.25737405
Av. de las Naciones, 18;28943;Fuenlabrada;Madrid;916490035;40.285088;-3.8046303
Av. de las Naciones, 1, Loc. D;03170;Rojales;Alicante;965725772;38.063797;-0.7264495
Av. de las Naciones, 33-35;28943;Fuenlabrada;Madrid;916490050;40.282715;-3.804574
Av. de las Provincias, 1;28940;Fuenlabrada;Madrid;916856089;40.295544;-3.805561
Av. de las Regiones, 3;28940;Fuenlabrada;Madrid;916856079;40.287567;-3.7997434
Av. de las Retamas, 70;28922;Alcorcon;Madrid;914861300;40.337467;-3.8288426
Av. de la Universidad, 35;28911;Leganes;Madrid;914987080;40.33099;-3.7686753
Av. de la Verge de Montserrat, 118;08820;El Prat de Llobregat;Barcelona;934796600;41.325687;2.094432
Av. de la Virgen, 19;21730;Almonte;Huelva;959451991;37.261356;-6.517071
Av. del Camí Nou, 11;46950;Xirivella;Valencia;963134910;39.467434;-0.4259777
Av. del Cantábrico, 13;28939;Arroyomolinos;Madrid;916013333;40.279755;-3.9121199
Av. del Cardenal Benlloch, 67;46002;Valencia;Valencia;963875890;39.471752;-0.3544593
Av. del Cardenal Benlloch, 98;46021;Valencia;Valencia;963690782;39.47384;-0.3530243
Av. del Cardenal Cisneros, 39;49011;Zamora;Zamora;980557405;41.51246;-5.7402277
Av. del Cardenal Costa, 19;12004;Castellon de la Plana;Castellón;964207900;39.99027;-0.04733294
Av. del Cardenal Herrera Oria, 245;28035;Madrid;Madrid;913782072;40.480927;-3.7207603
Av. del Carril, 13;30600;Archena;Murcia;968688337;38.1152;-1.29667
